Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.95,0.004163503646850586,0,0,npl36,135.75718188285828,0.002312898635864258,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.7250158230816759,0.004163503646850586,0,0,npl36,135.75718188285828,0.15021634101867676,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.7272810323672658,0.004163503646850586,0,0,npl36,135.75718188285828,0.028129100799560547,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.728488770391257,0.004163503646850586,0,0,npl36,135.75718188285828,0.018798828125,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,1.0,0.001275777816772461,0,0,npl36,135.76920557022095,0.0008556842803955078,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.7720541385797215,0.001275777816772461,0,0,npl36,135.76920557022095,0.07552051544189453,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.7694343469435238,0.001275777816772461,0,0,npl36,135.76920557022095,0.01329660415649414,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.7726237823682647,0.001275777816772461,0,0,npl36,135.76920557022095,0.013968706130981445,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,1.0,0.0012462139129638672,0,0,npl36,134.83035707473755,0.0008454322814941406,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.7237211827406467,0.0012462139129638672,0,0,npl36,134.83035707473755,0.06655454635620117,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.7217840601162664,0.0012462139129638672,0,0,npl36,134.83035707473755,0.01238250732421875,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.7195045307536765,0.0012462139129638672,0,0,npl36,134.83035707473755,0.014187335968017578,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,1.0,0.0030968189239501953,0,0,npl36,137.6561198234558,0.0020346641540527344,Adult,GaussianNB,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
