Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.9,0.001207590103149414,0,0,npl07,2.1492533683776855,0.0008256435394287109,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.48525155689858,0.001207590103149414,0,0,npl07,2.1492533683776855,0.034340620040893555,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.48251145829848446,0.001207590103149414,0,0,npl07,2.1492533683776855,0.006098270416259766,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.47640008031306946,0.001207590103149414,0,0,npl07,2.1492533683776855,0.004854440689086914,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.8500000000000001,0.0010213851928710938,0,0,npl07,2.425044298171997,0.0007865428924560547,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.4878761575687294,0.0010213851928710938,0,0,npl07,2.425044298171997,0.0306394100189209,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.48562124202785273,0.0010213851928710938,0,0,npl07,2.425044298171997,0.005975008010864258,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.4836574268753291,0.0010213851928710938,0,0,npl07,2.425044298171997,0.004651308059692383,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.85,0.001104593276977539,0,0,npl07,2.1892659664154053,0.0008647441864013672,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5267626614742171,0.001104593276977539,0,0,npl07,2.1892659664154053,0.029130220413208008,AmazonEmployeeAccess,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
