Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.8,0.0012366771697998047,0,0,npl19,122.90627813339233,0.16385698318481445,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6835147936166579,0.0012366771697998047,0,0,npl19,122.90627813339233,1.3654916286468506,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6805956581508945,0.0012366771697998047,0,0,npl19,122.90627813339233,0.4050776958465576,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.693684428177173,0.0012366771697998047,0,0,npl19,122.90627813339233,0.3120157718658447,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.75,0.00067138671875,0,0,npl19,114.46443223953247,0.008573532104492188,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6278071101112308,0.00067138671875,0,0,npl19,114.46443223953247,0.6064808368682861,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6223511254246529,0.00067138671875,0,0,npl19,114.46443223953247,0.20181727409362793,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6381693466184433,0.00067138671875,0,0,npl19,114.46443223953247,0.20606422424316406,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.85,0.0006532669067382812,0,0,npl19,118.60960531234741,0.005957603454589844,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.7194949821845584,0.0006532669067382812,0,0,npl19,118.60960531234741,0.6098408699035645,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.7027137818878731,0.0006532669067382812,0,0,npl19,118.60960531234741,0.2108154296875,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.7171731613043417,0.0006532669067382812,0,0,npl19,118.60960531234741,0.21105098724365234,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.9,0.0006668567657470703,0,0,npl19,117.57811164855957,0.005604982376098633,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.597535127027998,0.0006668567657470703,0,0,npl19,117.57811164855957,0.6142706871032715,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.5882329310173664,0.0006668567657470703,0,0,npl19,117.57811164855957,0.2074720859527588,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6182479985901012,0.0006668567657470703,0,0,npl19,117.57811164855957,0.2101292610168457,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.65,0.0006785392761230469,0,0,npl19,118.09682703018188,0.006018638610839844,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6364528697693692,0.0006785392761230469,0,0,npl19,118.09682703018188,0.6248488426208496,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6344105086747803,0.0006785392761230469,0,0,npl19,118.09682703018188,0.20779919624328613,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6418446428793267,0.0006785392761230469,0,0,npl19,118.09682703018188,0.20514702796936035,BankMarketing,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.8,0.0006785392761230469,0,0,npl19,120.94457530975342,0.006844520568847656,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6928174786488741,0.0006785392761230469,0,0,npl19,120.94457530975342,0.6314728260040283,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6962907763469846,0.0006785392761230469,0,0,npl19,120.94457530975342,0.23004841804504395,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6822933259104491,0.0006785392761230469,0,0,npl19,120.94457530975342,0.22554659843444824,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.8,0.0006754398345947266,0,0,npl19,120.70137071609497,0.006511688232421875,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6886840990333815,0.0006754398345947266,0,0,npl19,120.70137071609497,0.6245987415313721,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.7005492933810527,0.0006754398345947266,0,0,npl19,120.70137071609497,0.22587037086486816,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6989746018183399,0.0006754398345947266,0,0,npl19,120.70137071609497,0.22599124908447266,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.875,0.0006651878356933594,0,0,npl19,119.65094327926636,0.0068356990814208984,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.7374465877492051,0.0006651878356933594,0,0,npl19,119.65094327926636,0.6127245426177979,BankMarketing,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
