Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,0.04995298385620117,0,0,Unknown,0.00492405891418457,0.00029087066650390625,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6719196627550122,0.04995298385620117,0,0,Unknown,0.00492405891418457,0.01993393898010254,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6774358961415694,0.04995298385620117,0,0,Unknown,0.00492405891418457,0.004545927047729492,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6810984071891364,0.04995298385620117,0,0,Unknown,0.00492405891418457,0.006124973297119141,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.04542088508605957,0,0,Unknown,0.004539012908935547,0.0002930164337158203,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6272222903695119,0.04542088508605957,0,0,Unknown,0.004539012908935547,0.024934768676757812,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6294459195469024,0.04542088508605957,0,0,Unknown,0.004539012908935547,0.007926225662231445,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6217365295812394,0.04542088508605957,0,0,Unknown,0.004539012908935547,0.0051920413970947266,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.05080223083496094,0,0,Unknown,0.005194902420043945,0.0002999305725097656,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6520142018951907,0.05080223083496094,0,0,Unknown,0.005194902420043945,0.020550966262817383,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6519037234839116,0.05080223083496094,0,0,Unknown,0.005194902420043945,0.004962921142578125,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6578915064335056,0.05080223083496094,0,0,Unknown,0.005194902420043945,0.0055119991302490234,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.05012989044189453,0,0,Unknown,0.004141092300415039,0.00028967857360839844,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6193368514734169,0.05012989044189453,0,0,Unknown,0.004141092300415039,0.020507097244262695,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6199758879640053,0.05012989044189453,0,0,Unknown,0.004141092300415039,0.0058040618896484375,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6241648992046579,0.05012989044189453,0,0,Unknown,0.004141092300415039,0.0045948028564453125,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.05313825607299805,0,0,Unknown,0.004719972610473633,0.00030493736267089844,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6308193943126882,0.05313825607299805,0,0,Unknown,0.004719972610473633,0.02025771141052246,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6373399611986357,0.05313825607299805,0,0,Unknown,0.004719972610473633,0.005070924758911133,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6207322714594242,0.05313825607299805,0,0,Unknown,0.004719972610473633,0.005445241928100586,BankMarketing,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.13721776008605957,0,0,Unknown,0.0045778751373291016,0.00040602684020996094,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6914684233008053,0.13721776008605957,0,0,Unknown,0.0045778751373291016,0.022530078887939453,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6847149378521947,0.13721776008605957,0,0,Unknown,0.0045778751373291016,0.005934238433837891,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6927112274141938,0.13721776008605957,0,0,Unknown,0.0045778751373291016,0.004018068313598633,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.13309288024902344,0,0,Unknown,0.004538059234619141,0.0005030632019042969,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6718139329598862,0.13309288024902344,0,0,Unknown,0.004538059234619141,0.02010178565979004,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6625183616603485,0.13309288024902344,0,0,Unknown,0.004538059234619141,0.004682064056396484,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6591166402801942,0.13309288024902344,0,0,Unknown,0.004538059234619141,0.0040950775146484375,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.16932892799377441,0,0,Unknown,0.004477977752685547,0.00043487548828125,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6662389916753011,0.16932892799377441,0,0,Unknown,0.004477977752685547,0.020009994506835938,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.662821024080066,0.16932892799377441,0,0,Unknown,0.004477977752685547,0.004560947418212891,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6811585216023408,0.16932892799377441,0,0,Unknown,0.004477977752685547,0.004321098327636719,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.13223004341125488,0,0,Unknown,0.004825115203857422,0.00046706199645996094,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6702018290732578,0.13223004341125488,0,0,Unknown,0.004825115203857422,0.02004694938659668,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6631451399861015,0.13223004341125488,0,0,Unknown,0.004825115203857422,0.0044438838958740234,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6711794237312332,0.13223004341125488,0,0,Unknown,0.004825115203857422,0.004755973815917969,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.19057679176330566,0,0,Unknown,0.00439000129699707,0.0004627704620361328,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6803417253095845,0.19057679176330566,0,0,Unknown,0.00439000129699707,0.021452903747558594,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6912281742325962,0.19057679176330566,0,0,Unknown,0.00439000129699707,0.004769086837768555,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6725268919879805,0.19057679176330566,0,0,Unknown,0.00439000129699707,0.0042841434478759766,BankMarketing,MLPClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.196044921875,0,0,Unknown,0.0044629573822021484,0.00038623809814453125,BankMarketing,MLPClassifier,30,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.652783396304329,0.196044921875,0,0,Unknown,0.0044629573822021484,0.019692182540893555,BankMarketing,MLPClassifier,30,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6550064865246866,0.196044921875,0,0,Unknown,0.0044629573822021484,0.0044498443603515625,BankMarketing,MLPClassifier,30,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6549763258702325,0.196044921875,0,0,Unknown,0.0044629573822021484,0.0051882266998291016,BankMarketing,MLPClassifier,30,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.1459193229675293,0,0,Unknown,0.004419088363647461,0.0005121231079101562,BankMarketing,MLPClassifier,30,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.7075656686133592,0.1459193229675293,0,0,Unknown,0.004419088363647461,0.021916866302490234,BankMarketing,MLPClassifier,30,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
