Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.65,0.0003809928894042969,0,0,Unknown,0.0012590885162353516,0.000270843505859375,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.500764832325783,0.0003809928894042969,0,0,Unknown,0.0012590885162353516,0.007311105728149414,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.49603789819902727,0.0003809928894042969,0,0,Unknown,0.0012590885162353516,0.0016019344329833984,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.4872408293460925,0.0003809928894042969,0,0,Unknown,0.0012590885162353516,0.001516103744506836,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.95,0.0003800392150878906,0,0,Unknown,0.0012888908386230469,0.0002722740173339844,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.48440325104883153,0.0003800392150878906,0,0,Unknown,0.0012888908386230469,0.007130146026611328,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.4682837744437274,0.0003800392150878906,0,0,Unknown,0.0012888908386230469,0.001710653305053711,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.4964114832535885,0.0003800392150878906,0,0,Unknown,0.0012888908386230469,0.001631021499633789,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.75,0.00039196014404296875,0,0,Unknown,0.001306295394897461,0.0002830028533935547,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5640609469366522,0.00039196014404296875,0,0,Unknown,0.001306295394897461,0.007628917694091797,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5652376879221925,0.00039196014404296875,0,0,Unknown,0.001306295394897461,0.0019378662109375,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5538277511961722,0.00039196014404296875,0,0,Unknown,0.001306295394897461,0.0016970634460449219,Credit,GaussianNB,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
