Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.9,-1,0,0,53.06740689277649,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.586221743810549,-1,0,0,53.06740689277649,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.5756114911908943,-1,0,0,53.06740689277649,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.5946514702024177,-1,0,0,53.06740689277649,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.8500000000000001,-1,0,0,50.716344356536865,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6240043057050593,-1,0,0,50.716344356536865,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6463471978365725,-1,0,0,50.716344356536865,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6339069847228108,-1,0,0,50.716344356536865,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,1.0,-1,0,0,50.60028529167175,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.5764262648008611,-1,0,0,50.60028529167175,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.575058021028839,-1,0,0,50.60028529167175,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.591177271901677,-1,0,0,50.60028529167175,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.9,-1,0,0,49.85480761528015,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.5865446716899892,-1,0,0,49.85480761528015,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.593269560654679,-1,0,0,49.85480761528015,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.593569756412585,-1,0,0,49.85480761528015,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.95,-1,0,0,49.864418745040894,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6012917115177611,-1,0,0,49.864418745040894,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.594796775039858,-1,0,0,49.864418745040894,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.585014429577607,-1,0,0,49.864418745040894,-1,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.775,-1,0,0,51.0924711227417,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6289558665231432,-1,0,0,51.0924711227417,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6293419910798974,-1,0,0,51.0924711227417,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.63031926701782,-1,0,0,51.0924711227417,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.825,-1,0,0,51.0053985118866,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6058127018299246,-1,0,0,51.0053985118866,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6137565336723779,-1,0,0,51.0053985118866,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.6027224475792619,-1,0,0,51.0053985118866,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.8500000000000001,-1,0,0,51.25957441329956,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.5944025834230355,-1,0,0,51.25957441329956,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.5831562430627031,-1,0,0,51.25957441329956,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.5845921373937963,-1,0,0,51.25957441329956,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.875,-1,0,0,51.22134041786194,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6282023681377826,-1,0,0,51.22134041786194,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.631877257774818,-1,0,0,51.22134041786194,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.620756392403786,-1,0,0,51.22134041786194,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.85,-1,0,0,50.98204064369202,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6040904198062433,-1,0,0,50.98204064369202,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.5912166252951505,-1,0,0,50.98204064369202,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.5941156586143569,-1,0,0,50.98204064369202,-1,CreditDefault,LogisticRegression,20,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,0.7166666666666667,-1,0,0,50.91807270050049,-1,CreditDefault,LogisticRegression,30,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.6383207750269106,-1,0,0,50.91807270050049,-1,CreditDefault,LogisticRegression,30,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.6404159350971725,-1,0,0,50.91807270050049,-1,CreditDefault,LogisticRegression,30,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
