Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,5.848077058792114,0,0,npl02,0.0015473365783691406,0.005990505218505859,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.5707212055974166,5.848077058792114,0,0,npl02,0.0015473365783691406,0.22002339363098145,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.5730393937559283,5.848077058792114,0,0,npl02,0.0015473365783691406,0.06781935691833496,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.5796401687150612,5.848077058792114,0,0,npl02,0.0015473365783691406,0.061751365661621094,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,2.345578908920288,0,0,npl02,0.0013883113861083984,0.005917787551879883,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.6290635091496233,2.345578908920288,0,0,npl02,0.0013883113861083984,0.20136761665344238,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.6293540998163508,2.345578908920288,0,0,npl02,0.0013883113861083984,0.06237316131591797,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.6187650097878953,2.345578908920288,0,0,npl02,0.0013883113861083984,0.06076335906982422,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,0.95,1.8763461112976074,0,0,npl02,0.0011928081512451172,0.00529026985168457,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.5606027987082884,1.8763461112976074,0,0,npl02,0.0011928081512451172,0.20976948738098145,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.5689562269177211,1.8763461112976074,0,0,npl02,0.0011928081512451172,0.06215524673461914,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.57720379003451,1.8763461112976074,0,0,npl02,0.0011928081512451172,0.06215405464172363,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,4.44902229309082,0,0,npl02,0.0012204647064208984,0.0051937103271484375,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.5796555435952637,4.44902229309082,0,0,npl02,0.0012204647064208984,0.1932532787322998,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.5917176242659079,4.44902229309082,0,0,npl02,0.0012204647064208984,0.061425209045410156,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.5825588787310044,4.44902229309082,0,0,npl02,0.0012204647064208984,0.061556339263916016,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,1.738318681716919,0,0,npl02,0.00136566162109375,0.005992412567138672,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.5826695371367061,1.738318681716919,0,0,npl02,0.00136566162109375,0.214935302734375,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.5671363847349196,1.738318681716919,0,0,npl02,0.00136566162109375,0.06426739692687988,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.5649588302960586,1.738318681716919,0,0,npl02,0.00136566162109375,0.06442379951477051,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,3.422459840774536,0,0,npl02,0.0014486312866210938,0.006201744079589844,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.6146393972012918,3.422459840774536,0,0,npl02,0.0014486312866210938,0.20131897926330566,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.6016710056305624,3.422459840774536,0,0,npl02,0.0014486312866210938,0.06198453903198242,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.6193164618272083,3.422459840774536,0,0,npl02,0.0014486312866210938,0.06708979606628418,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,3.145540237426758,0,0,npl02,0.0012907981872558594,0.0056841373443603516,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.6565123789020453,3.145540237426758,0,0,npl02,0.0012907981872558594,0.18225693702697754,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.6685041674234626,3.145540237426758,0,0,npl02,0.0012907981872558594,0.05713510513305664,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
