Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.8500000000000001,0.013885021209716797,0,0,Unknown,0.0025451183319091797,0.0014829635620117188,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5376969851815332,0.013885021209716797,0,0,Unknown,0.0025451183319091797,0.013581991195678711,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5404180560790124,0.013885021209716797,0,0,Unknown,0.0025451183319091797,0.006016969680786133,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5398632125123604,0.013885021209716797,0,0,Unknown,0.0025451183319091797,0.005211830139160156,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.8,0.018327713012695312,0,0,Unknown,0.0025568008422851562,0.0005779266357421875,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.4893844381214282,0.018327713012695312,0,0,Unknown,0.0025568008422851562,0.012888908386230469,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.4842679008493378,0.018327713012695312,0,0,Unknown,0.0025568008422851562,0.004215240478515625,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.4858505403096901,0.018327713012695312,0,0,Unknown,0.0025568008422851562,0.003935098648071289,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.8,0.010738849639892578,0,0,Unknown,0.0026350021362304688,0.000576019287109375,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5188665920052089,0.010738849639892578,0,0,Unknown,0.0026350021362304688,0.012516260147094727,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5257793688501947,0.010738849639892578,0,0,Unknown,0.0026350021362304688,0.003804922103881836,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5224960836850928,0.010738849639892578,0,0,Unknown,0.0026350021362304688,0.0036690235137939453,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.95,0.009209156036376953,0,0,Unknown,0.002667665481567383,0.0005660057067871094,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5109641520845236,0.009209156036376953,0,0,Unknown,0.002667665481567383,0.012776851654052734,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5121749997740793,0.009209156036376953,0,0,Unknown,0.002667665481567383,0.004046201705932617,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.49976679319376366,0.009209156036376953,0,0,Unknown,0.002667665481567383,0.004428863525390625,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.8,0.011245965957641602,0,0,Unknown,0.002582073211669922,0.0005781650543212891,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5119301607779712,0.011245965957641602,0,0,Unknown,0.002582073211669922,0.013473987579345703,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5089477003309782,0.011245965957641602,0,0,Unknown,0.002582073211669922,0.0040471553802490234,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.511074620861731,0.011245965957641602,0,0,Unknown,0.002582073211669922,0.004122734069824219,Electricity,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
