Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.7,0.0003371238708496094,0,0,cccxc504,0.6033966541290283,0.09655427932739258,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Train - Original,0.6648571428571428,0.0003371238708496094,0,0,cccxc504,0.6033966541290283,0.21892476081848145,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Val,0.6533333333333333,0.0003371238708496094,0,0,cccxc504,0.6033966541290283,0.07621240615844727,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Test,0.6593333333333333,0.0003371238708496094,0,0,cccxc504,0.6033966541290283,0.14846324920654297,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Train,0.4,0.0003123283386230469,0,0,cccxc504,0.5801408290863037,0.050765037536621094,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Train - Original,0.6167142857142858,0.0003123283386230469,0,0,cccxc504,0.5801408290863037,0.2347121238708496,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Val,0.628,0.0003123283386230469,0,0,cccxc504,0.5801408290863037,0.07602357864379883,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Test,0.63,0.0003123283386230469,0,0,cccxc504,0.5801408290863037,0.11298990249633789,HomeEquityCredit,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Train,0.625,0.00036025047302246094,0,0,cccxc504,0.5672709941864014,0.06648039817810059,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Train - Original,0.6652857142857143,0.00036025047302246094,0,0,cccxc504,0.5672709941864014,0.23184537887573242,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Val,0.6599999999999999,0.00036025047302246094,0,0,cccxc504,0.5672709941864014,0.0873255729675293,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Test,0.6799999999999999,0.00036025047302246094,0,0,cccxc504,0.5672709941864014,0.11897397041320801,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Train,0.7,0.00028586387634277344,0,0,cccxc504,0.5623219013214111,0.09479403495788574,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Train - Original,0.6667142857142857,0.00028586387634277344,0,0,cccxc504,0.5623219013214111,0.2055211067199707,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Val,0.6679999999999999,0.00028586387634277344,0,0,cccxc504,0.5623219013214111,0.0754692554473877,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Test,0.6593333333333333,0.00028586387634277344,0,0,cccxc504,0.5623219013214111,0.10090303421020508,HomeEquityCredit,KNeighborsClassifier,20,mixed,mixed,Mixed -> [ Agglo / Closest => Original ] -> Mixed,Agglo,N/A,original,original,False,closest,Mixed -> [ AG/REAL => ORI ] -> Mixed
Train,0.55,0.000316619873046875,0,0,cccxc504,0.5622210502624512,0.039084672927856445,HomeEquityCredit,KNeighborsClassifier,30,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
Train - Original,0.6715714285714285,0.000316619873046875,0,0,cccxc504,0.5622210502624512,0.19304394721984863,HomeEquityCredit,KNeighborsClassifier,30,mixed,mixed,Mixed -> [ Agglo / Centroid => Original ] -> Mixed,Agglo,N/A,original,original,False,centroid,Mixed -> [ AG/SYN => ORI ] -> Mixed
