Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.75,0.007462501525878906,0,0,npl16,2.509338140487671,0.0007305145263671875,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.47290508041793444,0.007462501525878906,0,0,npl16,2.509338140487671,0.008909225463867188,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.47857962084704314,0.007462501525878906,0,0,npl16,2.509338140487671,0.002247333526611328,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.46697280185570333,0.007462501525878906,0,0,npl16,2.509338140487671,0.0022497177124023438,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.75,0.00774383544921875,0,0,npl16,2.066272020339966,0.0008156299591064453,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5939920532678101,0.00774383544921875,0,0,npl16,2.066272020339966,0.013710975646972656,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5849884753379629,0.00774383544921875,0,0,npl16,2.066272020339966,0.005785226821899414,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5724452866516186,0.00774383544921875,0,0,npl16,2.066272020339966,0.004722118377685547,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.7,0.00701594352722168,0,0,npl16,2.131336212158203,0.0006885528564453125,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.6818236995508169,0.00701594352722168,0,0,npl16,2.131336212158203,0.008281946182250977,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.6827701679530975,0.00701594352722168,0,0,npl16,2.131336212158203,0.002366304397583008,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.6716813039864108,0.00701594352722168,0,0,npl16,2.131336212158203,0.002387523651123047,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.75,0.3453824520111084,0,0,npl16,2.060131072998047,0.0008127689361572266,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.6485124324026941,0.3453824520111084,0,0,npl16,2.060131072998047,0.019130945205688477,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.6446563908350069,0.3453824520111084,0,0,npl16,2.060131072998047,0.005118370056152344,House,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
