Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,5.256287336349487,0,0,idea-node-05,27.203612327575684,0.0025038719177246094,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.8741215067425316,5.256287336349487,0,0,idea-node-05,27.203612327575684,0.017479419708251953,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.8767011349686321,5.256287336349487,0,0,idea-node-05,27.203612327575684,0.008681774139404297,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.8702270313829747,5.256287336349487,0,0,idea-node-05,27.203612327575684,0.004808187484741211,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,1.0,0.6470811367034912,0,0,idea-node-05,23.257983922958374,0.002646207809448242,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.9200842696507796,0.6470811367034912,0,0,idea-node-05,23.257983922958374,0.0192563533782959,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.9170906167390929,0.6470811367034912,0,0,idea-node-05,23.257983922958374,0.005667448043823242,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.9211255168362467,0.6470811367034912,0,0,idea-node-05,23.257983922958374,0.0057811737060546875,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train,1.0,0.38374876976013184,0,0,idea-node-05,21.748123168945312,0.0026597976684570312,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Train - Original,0.8736477611935137,0.38374876976013184,0,0,idea-node-05,21.748123168945312,0.021779298782348633,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Val,0.8653382688527553,0.38374876976013184,0,0,idea-node-05,21.748123168945312,0.0036711692810058594,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
Test,0.8653128506766883,0.38374876976013184,0,0,idea-node-05,21.748123168945312,0.0038652420043945312,LawSchoolAdmissions,LogisticRegression,10,mixed,mixed,Mixed -> [ GM => Original ] -> Mixed,GM,N/A,original,original,False,centroid,Mixed -> [ GM => ORI ] -> Mixed
