Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,0.2511613368988037,0,0,Unknown,5.337153196334839,0.005602836608886719,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Train - Original,0.520273154075971,0.2511613368988037,0,0,Unknown,5.337153196334839,0.008547544479370117,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Val,0.5179282868525896,0.2511613368988037,0,0,Unknown,5.337153196334839,0.003453493118286133,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Test,0.5169322709163346,0.2511613368988037,0,0,Unknown,5.337153196334839,0.003120899200439453,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Train,0.95,0.033927202224731445,0,0,Unknown,5.534178733825684,0.0036842823028564453,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Train - Original,0.793854033290653,0.033927202224731445,0,0,Unknown,5.534178733825684,0.007592678070068359,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Val,0.7938247011952191,0.033927202224731445,0,0,Unknown,5.534178733825684,0.002435922622680664,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Test,0.7878486055776892,0.033927202224731445,0,0,Unknown,5.534178733825684,0.003808259963989258,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Train,1.0,0.0723111629486084,0,0,Unknown,3.9581990242004395,0.0024213790893554688,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ TF-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,TF,encoded,decoded,False,centroid,Onehot -> [ TF-ENC => AG/SYN => DEC ] -> Onehot
Train - Original,0.5980769129356828,0.0723111629486084,0,0,Unknown,3.9581990242004395,0.005043506622314453,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ TF-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,TF,encoded,decoded,False,centroid,Onehot -> [ TF-ENC => AG/SYN => DEC ] -> Onehot
Val,0.5936970454665271,0.0723111629486084,0,0,Unknown,3.9581990242004395,0.002335071563720703,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ TF-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,TF,encoded,decoded,False,centroid,Onehot -> [ TF-ENC => AG/SYN => DEC ] -> Onehot
Test,0.6008037792120742,0.0723111629486084,0,0,Unknown,3.9581990242004395,0.002318143844604492,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ TF-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,TF,encoded,decoded,False,centroid,Onehot -> [ TF-ENC => AG/SYN => DEC ] -> Onehot
Train,0.9,0.03391766548156738,0,0,Unknown,3.926572561264038,0.0017161369323730469,LawSchoolAdmissions,XGBClassifier,10,onehot,onehot,Onehot -> [ TF-Encoded => Agglo / Centroid => Decoded-Binary ] -> Onehot,Agglo,TF,encoded,decoded,True,centroid,Onehot -> [ TF-ENC => AG/SYN => DEC-BIN ] -> Onehot
