Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.7,0.0011773109436035156,0,0,npl27,1.5983428955078125,0.0007922649383544922,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.6948903704721294,0.0011773109436035156,0,0,npl27,1.5983428955078125,0.004534482955932617,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.6936603702406294,0.0011773109436035156,0,0,npl27,1.5983428955078125,0.0013210773468017578,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.6830295599687424,0.0011773109436035156,0,0,npl27,1.5983428955078125,0.001260519027709961,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.9,0.0008103847503662109,0,0,npl27,1.3440296649932861,0.0006451606750488281,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.8665004627981912,0.0008103847503662109,0,0,npl27,1.3440296649932861,0.004154205322265625,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.8516019509040447,0.0008103847503662109,0,0,npl27,1.3440296649932861,0.0012164115905761719,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.8645870496618253,0.0008103847503662109,0,0,npl27,1.3440296649932861,0.0011742115020751953,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.75,0.0008707046508789062,0,0,npl27,1.3292768001556396,0.0007076263427734375,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.6510576363878937,0.0008707046508789062,0,0,npl27,1.3292768001556396,0.0042269229888916016,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.6455759747783676,0.0008707046508789062,0,0,npl27,1.3292768001556396,0.0012438297271728516,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.6370232545606425,0.0008707046508789062,0,0,npl27,1.3292768001556396,0.0012331008911132812,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.75,0.0008285045623779297,0,0,npl27,1.3240771293640137,0.0006504058837890625,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.6835187825200846,0.0008285045623779297,0,0,npl27,1.3240771293640137,0.004174947738647461,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.6937390531109375,0.0008285045623779297,0,0,npl27,1.3240771293640137,0.0012290477752685547,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.6824596480827787,0.0008285045623779297,0,0,npl27,1.3240771293640137,0.001207113265991211,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.95,0.0008454322814941406,0,0,npl27,1.6162967681884766,0.0006623268127441406,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.8598128755286648,0.0008454322814941406,0,0,npl27,1.6162967681884766,0.00417327880859375,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.8443049230686319,0.0008454322814941406,0,0,npl27,1.6162967681884766,0.0012247562408447266,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.8593260758265744,0.0008454322814941406,0,0,npl27,1.6162967681884766,0.0012400150299072266,MagicTelescope,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.9,0.000881195068359375,0,0,npl27,2.067884922027588,0.0006937980651855469,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.9192775686586256,0.000881195068359375,0,0,npl27,2.067884922027588,0.004330158233642578,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.9106776966398102,0.000881195068359375,0,0,npl27,2.067884922027588,0.0012173652648925781,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.9168278946942955,0.000881195068359375,0,0,npl27,2.067884922027588,0.0011706352233886719,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.75,0.0008351802825927734,0,0,npl27,1.9533932209014893,0.0006554126739501953,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.8048961693057513,0.0008351802825927734,0,0,npl27,1.9533932209014893,0.004315614700317383,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.7907307806310797,0.0008351802825927734,0,0,npl27,1.9533932209014893,0.0012233257293701172,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.7952593570639432,0.0008351802825927734,0,0,npl27,1.9533932209014893,0.0012271404266357422,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.75,0.00087738037109375,0,0,npl27,1.9939887523651123,0.0006723403930664062,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.655456446097867,0.00087738037109375,0,0,npl27,1.9939887523651123,0.004210948944091797,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.6532696505079356,0.00087738037109375,0,0,npl27,1.9939887523651123,0.0012938976287841797,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.6450292366144809,0.00087738037109375,0,0,npl27,1.9939887523651123,0.0012171268463134766,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.85,0.0008492469787597656,0,0,npl27,1.9701507091522217,0.0006556510925292969,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.7600213475068083,0.0008492469787597656,0,0,npl27,1.9701507091522217,0.004199504852294922,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.7513545848939668,0.0008492469787597656,0,0,npl27,1.9701507091522217,0.001251220703125,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.7523515938670475,0.0008492469787597656,0,0,npl27,1.9701507091522217,0.0012025833129882812,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.825,0.0008418560028076172,0,0,npl27,1.9564335346221924,0.0006644725799560547,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.8435617160588597,0.0008418560028076172,0,0,npl27,1.9564335346221924,0.004136323928833008,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.8364366360378325,0.0008418560028076172,0,0,npl27,1.9564335346221924,0.001255035400390625,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.8385748160922637,0.0008418560028076172,0,0,npl27,1.9564335346221924,0.0012106895446777344,MagicTelescope,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.7166666666666667,0.0008752346038818359,0,0,npl27,3.3770267963409424,0.0006918907165527344,MagicTelescope,GaussianNB,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.7987726544465246,0.0008752346038818359,0,0,npl27,3.3770267963409424,0.0041658878326416016,MagicTelescope,GaussianNB,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.8025623130608175,0.0008752346038818359,0,0,npl27,3.3770267963409424,0.0012271404266357422,MagicTelescope,GaussianNB,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.7945021691681712,0.0008752346038818359,0,0,npl27,3.3770267963409424,0.0011801719665527344,MagicTelescope,GaussianNB,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.8500000000000001,0.0008492469787597656,0,0,npl27,3.408393383026123,0.0007064342498779297,MagicTelescope,GaussianNB,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.8465566666495113,0.0008492469787597656,0,0,npl27,3.408393383026123,0.004264116287231445,MagicTelescope,GaussianNB,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
