Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.95,0.0017914772033691406,0,0,npl03,4.480179786682129,0.0010905265808105469,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5082029648228045,0.0017914772033691406,0,0,npl03,4.480179786682129,0.1749260425567627,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.49731711043549565,0.0017914772033691406,0,0,npl03,4.480179786682129,0.0353550910949707,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5078621718609821,0.0017914772033691406,0,0,npl03,4.480179786682129,0.03230094909667969,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.75,0.0011279582977294922,0,0,npl03,3.988948345184326,0.0007653236389160156,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5087313628488765,0.0011279582977294922,0,0,npl03,3.988948345184326,0.1657555103302002,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.5043073532913498,0.0011279582977294922,0,0,npl03,3.988948345184326,0.03590083122253418,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5087756555557,0.0011279582977294922,0,0,npl03,3.988948345184326,0.032727718353271484,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.8500000000000001,0.0009508132934570312,0,0,npl03,3.979825735092163,0.0007250308990478516,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.517836709465319,0.0009508132934570312,0,0,npl03,3.979825735092163,0.16612792015075684,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.528858992769506,0.0009508132934570312,0,0,npl03,3.979825735092163,0.03044867515563965,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5243335009151993,0.0009508132934570312,0,0,npl03,3.979825735092163,0.02616405487060547,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.8,0.0009636878967285156,0,0,npl03,3.99436354637146,0.0007522106170654297,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5039461748164256,0.0009636878967285156,0,0,npl03,3.99436354637146,0.17502975463867188,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.5029229827275595,0.0009636878967285156,0,0,npl03,3.99436354637146,0.029366016387939453,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5010371836711697,0.0009636878967285156,0,0,npl03,3.99436354637146,0.024566173553466797,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.75,0.0009417533874511719,0,0,npl03,4.343817949295044,0.0007321834564208984,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.49787765439045434,0.0009417533874511719,0,0,npl03,4.343817949295044,0.16498422622680664,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.4972991184040016,0.0009417533874511719,0,0,npl03,4.343817949295044,0.028119325637817383,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.49762482501419386,0.0009417533874511719,0,0,npl03,4.343817949295044,0.025458097457885742,MedicalAppointments,GaussianNB,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.7,0.0009739398956298828,0,0,npl03,5.355622053146362,0.0007479190826416016,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5090112568014666,0.0009739398956298828,0,0,npl03,5.355622053146362,0.16560578346252441,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.505626832895881,0.0009739398956298828,0,0,npl03,5.355622053146362,0.029013395309448242,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5087988154418022,0.0009739398956298828,0,0,npl03,5.355622053146362,0.024881839752197266,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,0.725,0.0010976791381835938,0,0,npl03,5.228436708450317,0.0007963180541992188,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.508485099502729,0.0010976791381835938,0,0,npl03,5.228436708450317,0.15950608253479004,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.5115414254221942,0.0010976791381835938,0,0,npl03,5.228436708450317,0.029651641845703125,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5080517849635726,0.0010976791381835938,0,0,npl03,5.228436708450317,0.024936676025390625,MedicalAppointments,GaussianNB,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
