Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,2.4391939640045166,0,0,npl20,1.4138274192810059,0.0026051998138427734,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train - Original,0.5584760352604752,2.4391939640045166,0,0,npl20,1.4138274192810059,0.1910400390625,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Val,0.5674788206473935,2.4391939640045166,0,0,npl20,1.4138274192810059,0.04341483116149902,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Test,0.5584874707273486,2.4391939640045166,0,0,npl20,1.4138274192810059,0.07298517227172852,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train,1.0,2.071734666824341,0,0,npl20,1.3264365196228027,0.0037124156951904297,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Train - Original,0.5452966327248394,2.071734666824341,0,0,npl20,1.3264365196228027,0.09615635871887207,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Val,0.5552237639835559,2.071734666824341,0,0,npl20,1.3264365196228027,0.04417133331298828,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Test,0.5462793665549937,2.071734666824341,0,0,npl20,1.3264365196228027,0.03368854522705078,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Train,1.0,1.6335196495056152,0,0,npl20,1.5388832092285156,0.0025832653045654297,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train - Original,0.5627948731474393,1.6335196495056152,0,0,npl20,1.5388832092285156,0.10084056854248047,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Val,0.5735717758347287,1.6335196495056152,0,0,npl20,1.5388832092285156,0.08223366737365723,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Test,0.5594114282886857,1.6335196495056152,0,0,npl20,1.5388832092285156,0.05015850067138672,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train,1.0,2.122966766357422,0,0,npl20,1.7230350971221924,0.003439188003540039,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Train - Original,0.5482722947821475,2.122966766357422,0,0,npl20,1.7230350971221924,0.17281746864318848,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Val,0.5648710822407859,2.122966766357422,0,0,npl20,1.7230350971221924,0.0765528678894043,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Test,0.5589789298308723,2.122966766357422,0,0,npl20,1.7230350971221924,0.04830527305603027,MedicalAppointments,ResNet,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
