Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.9,1.862802505493164,0,0,npl21,1.6158990859985352,0.0031173229217529297,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.7973697600688872,1.862802505493164,0,0,npl21,1.6158990859985352,0.0561368465423584,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.7977168949771689,1.862802505493164,0,0,npl21,1.6158990859985352,0.024242162704467773,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.8007305936073059,1.862802505493164,0,0,npl21,1.6158990859985352,0.01923823356628418,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.9,2.6450071334838867,0,0,npl21,0.38512516021728516,0.0024046897888183594,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.8010489647344319,2.6450071334838867,0,0,npl21,0.38512516021728516,0.05055665969848633,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.7960730593607306,2.6450071334838867,0,0,npl21,0.38512516021728516,0.28768396377563477,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.8031963470319634,2.6450071334838867,0,0,npl21,0.38512516021728516,0.00878596305847168,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,0.95,2.25020694732666,0,0,npl21,1.165107250213623,0.0031347274780273438,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.8039649301342517,2.25020694732666,0,0,npl21,1.165107250213623,0.06157970428466797,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.8069406392694064,2.25020694732666,0,0,npl21,1.165107250213623,0.01269984245300293,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.8078538812785387,2.25020694732666,0,0,npl21,1.165107250213623,0.007765293121337891,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.95,4.381242513656616,0,0,npl21,0.4299001693725586,0.0031278133392333984,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.797076206505147,4.381242513656616,0,0,npl21,0.4299001693725586,0.060065269470214844,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.7975342465753424,4.381242513656616,0,0,npl21,0.4299001693725586,0.009154319763183594,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.8025570776255708,4.381242513656616,0,0,npl21,0.4299001693725586,0.008102178573608398,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,0.95,1.6605911254882812,0,0,npl21,0.413576602935791,0.0020978450775146484,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.7981525695721946,1.6605911254882812,0,0,npl21,0.413576602935791,0.0458376407623291,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.798904109589041,1.6605911254882812,0,0,npl21,0.413576602935791,0.008092403411865234,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.8014611872146119,1.6605911254882812,0,0,npl21,0.413576602935791,0.007343292236328125,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.95,2.963057279586792,0,0,npl21,0.4276754856109619,0.002364635467529297,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.7833183294845198,2.963057279586792,0,0,npl21,0.4276754856109619,0.05387139320373535,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.785662100456621,2.963057279586792,0,0,npl21,0.4276754856109619,0.3322768211364746,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.7874885844748858,2.963057279586792,0,0,npl21,0.4276754856109619,0.10940790176391602,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,0.95,1.608518362045288,0,0,npl21,0.7690484523773193,0.002100706100463867,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.8084465145406865,1.608518362045288,0,0,npl21,0.7690484523773193,0.04796886444091797,MiniBooNE,ResNet,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
