Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.95,1.3333399295806885,0,0,npl21,417.6962308883667,0.006418943405151367,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Train - Original,0.6751731966026067,1.3333399295806885,0,0,npl21,417.6962308883667,0.07780671119689941,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Val,0.6793607305936074,1.3333399295806885,0,0,npl21,417.6962308883667,0.019495010375976562,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Test,0.6799086757990868,1.3333399295806885,0,0,npl21,417.6962308883667,0.020557641983032227,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Train,0.8,0.6553611755371094,0,0,npl21,393.9993095397949,0.008431434631347656,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Train - Original,0.6392618106383812,0.6553611755371094,0,0,npl21,393.9993095397949,0.40331435203552246,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Val,0.6447488584474885,0.6553611755371094,0,0,npl21,393.9993095397949,0.05217933654785156,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Test,0.645296803652968,0.6553611755371094,0,0,npl21,393.9993095397949,0.3677647113800049,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Train,0.55,0.1623520851135254,0,0,npl21,43.85189747810364,0.0022165775299072266,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC ] -> Onehot
Train - Original,0.5191592625934478,0.1623520851135254,0,0,npl21,43.85189747810364,0.07299613952636719,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC ] -> Onehot
Val,0.5231963470319635,0.1623520851135254,0,0,npl21,43.85189747810364,0.02626323699951172,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC ] -> Onehot
Test,0.5229223744292237,0.1623520851135254,0,0,npl21,43.85189747810364,0.024019718170166016,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC ] -> Onehot
Train,0.8,1.0973742008209229,0,0,npl21,45.46327257156372,0.002932310104370117,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded-Binary ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC-BIN ] -> Onehot
Train - Original,0.6818270773807193,1.0973742008209229,0,0,npl21,45.46327257156372,0.07310867309570312,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded-Binary ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC-BIN ] -> Onehot
Val,0.686027397260274,1.0973742008209229,0,0,npl21,45.46327257156372,0.024875164031982422,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded-Binary ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC-BIN ] -> Onehot
Test,0.6925114155251142,1.0973742008209229,0,0,npl21,45.46327257156372,0.025113344192504883,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded-Binary ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC-BIN ] -> Onehot
Train,0.8,0.38272595405578613,0,0,npl21,46.714200258255005,0.004762887954711914,MiniBooNE,ResNet,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Encoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,encoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => ENC ] -> Onehot
