Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.8,0.023480653762817383,0,0,Unknown,0.028178930282592773,0.0006761550903320312,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.49794512505381816,0.023480653762817383,0,0,Unknown,0.028178930282592773,0.07835888862609863,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.4958904109589041,0.023480653762817383,0,0,Unknown,0.028178930282592773,0.0187838077545166,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5017351598173516,0.023480653762817383,0,0,Unknown,0.028178930282592773,0.020983219146728516,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.85,0.020984649658203125,0,0,Unknown,0.0294649600982666,0.0009012222290039062,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6269912716740381,0.020984649658203125,0,0,Unknown,0.0294649600982666,0.07308220863342285,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6284018264840183,0.020984649658203125,0,0,Unknown,0.0294649600982666,0.017364978790283203,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6296803652968037,0.020984649658203125,0,0,Unknown,0.0294649600982666,0.017942190170288086,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.85,0.025332927703857422,0,0,Unknown,0.028789997100830078,0.0006380081176757812,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6306117656268347,0.025332927703857422,0,0,Unknown,0.028789997100830078,0.07494926452636719,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.631689497716895,0.025332927703857422,0,0,Unknown,0.028789997100830078,0.019723176956176758,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6344292237442922,0.025332927703857422,0,0,Unknown,0.028789997100830078,0.01833510398864746,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.8,0.020246028900146484,0,0,Unknown,0.02809596061706543,0.000843048095703125,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6324905084347724,0.020246028900146484,0,0,Unknown,0.02809596061706543,0.2764878273010254,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6326027397260274,0.020246028900146484,0,0,Unknown,0.02809596061706543,0.01574110984802246,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6398173515981735,0.020246028900146484,0,0,Unknown,0.02809596061706543,0.016360044479370117,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.7,0.02363300323486328,0,0,Unknown,0.028029918670654297,0.0006608963012695312,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5647970566362676,0.02363300323486328,0,0,Unknown,0.028029918670654297,0.08181190490722656,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5648401826484017,0.02363300323486328,0,0,Unknown,0.028029918670654297,0.018845319747924805,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5648401826484017,0.02363300323486328,0,0,Unknown,0.028029918670654297,0.01702284812927246,MiniBooNE,XGBClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.775,0.024470090866088867,0,0,Unknown,0.027279138565063477,0.0006821155548095703,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5294336373243571,0.024470090866088867,0,0,Unknown,0.027279138565063477,0.07366800308227539,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5344292237442922,0.024470090866088867,0,0,Unknown,0.027279138565063477,0.016401052474975586,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5311415525114156,0.024470090866088867,0,0,Unknown,0.027279138565063477,0.01659989356994629,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.925,0.019090890884399414,0,0,Unknown,0.028819799423217773,0.0006601810455322266,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6177149790598457,0.019090890884399414,0,0,Unknown,0.028819799423217773,0.17829489707946777,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6181735159817352,0.019090890884399414,0,0,Unknown,0.028819799423217773,0.021202802658081055,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6178995433789954,0.019090890884399414,0,0,Unknown,0.028819799423217773,0.017333030700683594,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,0.85,0.029435157775878906,0,0,Unknown,0.028332948684692383,0.0007159709930419922,MiniBooNE,XGBClassifier,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
