Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,0.0549769401550293,0,0,npl02,1.697681188583374,0.0008094310760498047,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.0549769401550293,0,0,npl02,1.697681188583374,0.03638601303100586,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.0549769401550293,0,0,npl02,1.697681188583374,0.004054069519042969,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.0549769401550293,0,0,npl02,1.697681188583374,0.004235982894897461,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.05438065528869629,0,0,npl02,1.4339463710784912,0.0006601810455322266,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.9888392857142857,0.05438065528869629,0,0,npl02,1.4339463710784912,0.013550519943237305,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.9891975308641976,0.05438065528869629,0,0,npl02,1.4339463710784912,0.004189014434814453,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.9899691358024691,0.05438065528869629,0,0,npl02,1.4339463710784912,0.003991365432739258,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.060370445251464844,0,0,npl02,1.4746356010437012,0.0006952285766601562,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.9989252645502645,0.060370445251464844,0,0,npl02,1.4746356010437012,0.007939577102661133,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.9992283950617284,0.060370445251464844,0,0,npl02,1.4746356010437012,0.002561807632446289,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.9996141975308642,0.060370445251464844,0,0,npl02,1.4746356010437012,0.002620220184326172,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.053784847259521484,0,0,npl02,1.4723610877990723,0.0006372928619384766,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.9985119047619048,0.053784847259521484,0,0,npl02,1.4723610877990723,0.015571832656860352,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.9992283950617284,0.053784847259521484,0,0,npl02,1.4723610877990723,0.007590770721435547,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.9984567901234568,0.053784847259521484,0,0,npl02,1.4723610877990723,0.0043392181396484375,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.05488085746765137,0,0,npl02,1.8598875999450684,0.0006284713745117188,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.9978505291005291,0.05488085746765137,0,0,npl02,1.8598875999450684,0.007010698318481445,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.9953703703703703,0.05488085746765137,0,0,npl02,1.8598875999450684,0.002215147018432617,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.9953703703703703,0.05488085746765137,0,0,npl02,1.8598875999450684,0.002226591110229492,Nursery,MLPClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.059935808181762695,0,0,npl02,2.215045213699341,0.0006415843963623047,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.059935808181762695,0,0,npl02,2.215045213699341,0.01081228256225586,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.059935808181762695,0,0,npl02,2.215045213699341,0.003712892532348633,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.059935808181762695,0,0,npl02,2.215045213699341,0.003690481185913086,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.05977630615234375,0,0,npl02,1.9937305450439453,0.0006363391876220703,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.05977630615234375,0,0,npl02,1.9937305450439453,0.011106014251708984,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.05977630615234375,0,0,npl02,1.9937305450439453,0.0039103031158447266,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.05977630615234375,0,0,npl02,1.9937305450439453,0.0037708282470703125,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.05936026573181152,0,0,npl02,2.2369823455810547,0.0006530284881591797,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.05936026573181152,0,0,npl02,2.2369823455810547,0.007344722747802734,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.05936026573181152,0,0,npl02,2.2369823455810547,0.0023217201232910156,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.05936026573181152,0,0,npl02,2.2369823455810547,0.002183198928833008,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.059560537338256836,0,0,npl02,2.017930507659912,0.0006854534149169922,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.059560537338256836,0,0,npl02,2.017930507659912,0.007452249526977539,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.059560537338256836,0,0,npl02,2.017930507659912,0.0021719932556152344,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.059560537338256836,0,0,npl02,2.017930507659912,0.0021543502807617188,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.06105756759643555,0,0,npl02,2.0794732570648193,0.0008320808410644531,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.06105756759643555,0,0,npl02,2.0794732570648193,0.012327909469604492,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.06105756759643555,0,0,npl02,2.0794732570648193,0.004055976867675781,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.06105756759643555,0,0,npl02,2.0794732570648193,0.003965854644775391,Nursery,MLPClassifier,20,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.06607651710510254,0,0,npl02,3.6560399532318115,0.0008029937744140625,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.06607651710510254,0,0,npl02,3.6560399532318115,0.015644550323486328,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.06607651710510254,0,0,npl02,3.6560399532318115,0.004084110260009766,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,1.0,0.06607651710510254,0,0,npl02,3.6560399532318115,0.00392603874206543,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.08724832534790039,0,0,npl02,3.722378730773926,0.0019295215606689453,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,1.0,0.08724832534790039,0,0,npl02,3.722378730773926,0.06982803344726562,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,1.0,0.08724832534790039,0,0,npl02,3.722378730773926,0.013562917709350586,Nursery,MLPClassifier,30,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
