Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,0.054370880126953125,0,0,Unknown,0.002820253372192383,0.0005316734313964844,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.8284980791462151,0.054370880126953125,0,0,Unknown,0.002820253372192383,0.010635137557983398,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.8521900634576691,0.054370880126953125,0,0,Unknown,0.002820253372192383,0.0038290023803710938,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.8479282622139765,0.054370880126953125,0,0,Unknown,0.002820253372192383,0.0037686824798583984,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.06052827835083008,0,0,Unknown,0.0025267601013183594,0.0005443096160888672,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.8140248722814978,0.06052827835083008,0,0,Unknown,0.0025267601013183594,0.007294893264770508,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.8070761565731385,0.06052827835083008,0,0,Unknown,0.0025267601013183594,0.002458333969116211,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.8256802721088435,0.06052827835083008,0,0,Unknown,0.0025267601013183594,0.0025064945220947266,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,0.06128263473510742,0,0,Unknown,0.0024766921997070312,0.0005443096160888672,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.8471592616557516,0.06128263473510742,0,0,Unknown,0.0024766921997070312,0.00709223747253418,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.8392648933896418,0.06128263473510742,0,0,Unknown,0.0024766921997070312,0.002451181411743164,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.8480674087816945,0.06128263473510742,0,0,Unknown,0.0024766921997070312,0.0024483203887939453,PhishingWebsites,MLPClassifier,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
