Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,2.5107359886169434,0,0,cccxc406,2.567784547805786,0.00360870361328125,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5104942717184934,2.5107359886169434,0,0,cccxc406,2.567784547805786,0.005030155181884766,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.5058248868489832,2.5107359886169434,0,0,cccxc406,2.567784547805786,0.0025472640991210938,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.5061276853445528,2.5107359886169434,0,0,cccxc406,2.567784547805786,0.0023162364959716797,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,1.4690232276916504,0,0,cccxc406,1.732435703277588,0.0024285316467285156,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.6311079308891685,1.4690232276916504,0,0,cccxc406,1.732435703277588,0.004248380661010742,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.6322352903678206,1.4690232276916504,0,0,cccxc406,1.732435703277588,0.0026345252990722656,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.6326576145853254,1.4690232276916504,0,0,cccxc406,1.732435703277588,0.0020246505737304688,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,0.8018836975097656,0,0,cccxc406,1.626692533493042,0.002295255661010742,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5105720135383365,0.8018836975097656,0,0,cccxc406,1.626692533493042,0.0038604736328125,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.5069882705424874,0.8018836975097656,0,0,cccxc406,1.626692533493042,0.001882314682006836,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Test,0.519219736087206,0.8018836975097656,0,0,cccxc406,1.626692533493042,0.0018646717071533203,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train,1.0,6.254490613937378,0,0,cccxc406,1.7928862571716309,0.020116567611694336,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Train - Original,0.5241306747107872,6.254490613937378,0,0,cccxc406,1.7928862571716309,0.03770637512207031,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
Val,0.5332281506980302,6.254490613937378,0,0,cccxc406,1.7928862571716309,0.02025318145751953,Pol,XGBClassifier,10,mixed,mixed,Mixed -> [ KIP => Original ] -> Mixed,KIP,N/A,original,original,False,centroid,Mixed -> [ KIP => ORI ] -> Mixed
