Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,2439.652923345566,0,0,npl36,0.09247088432312012,1.1677587032318115,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5623973428591071,2439.652923345566,0,0,npl36,0.09247088432312012,7.308200836181641,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5591744213791459,2439.652923345566,0,0,npl36,0.09247088432312012,3.2341532707214355,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5611675032411694,2439.652923345566,0,0,npl36,0.09247088432312012,4.270796298980713,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,1454.919867515564,0,0,npl36,0.08328509330749512,1.2625548839569092,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.545487325652735,1454.919867515564,0,0,npl36,0.08328509330749512,9.013193368911743,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5412789310427106,1454.919867515564,0,0,npl36,0.08328509330749512,5.753532886505127,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.5417770289504047,1454.919867515564,0,0,npl36,0.08328509330749512,5.04084038734436,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,1537.791351556778,0,0,npl36,0.0871572494506836,0.008968591690063477,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.6252880346612928,1537.791351556778,0,0,npl36,0.0871572494506836,7.683624267578125,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.6301002147458841,1537.791351556778,0,0,npl36,0.0871572494506836,4.591822862625122,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.6203902052286625,1537.791351556778,0,0,npl36,0.0871572494506836,3.04103422164917,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,1411.380226135254,0,0,npl36,0.08009505271911621,1.2772419452667236,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5368058378191365,1411.380226135254,0,0,npl36,0.08009505271911621,7.798574924468994,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5312574564543069,1411.380226135254,0,0,npl36,0.08009505271911621,4.287870168685913,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.534212414695601,1411.380226135254,0,0,npl36,0.08009505271911621,4.058265447616577,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,1209.0619113445282,0,0,npl36,0.08374619483947754,0.7280607223510742,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5891632416172967,1209.0619113445282,0,0,npl36,0.08374619483947754,7.827443361282349,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5894178000477213,1209.0619113445282,0,0,npl36,0.08374619483947754,2.8422458171844482,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Test,0.583357754711056,1209.0619113445282,0,0,npl36,0.08374619483947754,4.633125305175781,RoadSafety,FTTransformer,10,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train,1.0,519.6099185943604,0,0,npl36,0.08868670463562012,0.03417778015136719,RoadSafety,FTTransformer,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Train - Original,0.5766744099354535,519.6099185943604,0,0,npl36,0.08868670463562012,6.759445428848267,RoadSafety,FTTransformer,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
Val,0.5798138869005012,519.6099185943604,0,0,npl36,0.08868670463562012,4.316497802734375,RoadSafety,FTTransformer,20,onehot,onehot,Onehot -> Random Sample -> Onehot,Random Sample,N/A,N/A,original,False,centroid,Onehot -> RS -> Onehot
