Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,0.03388619422912598,0,0,Unknown,0.002617359161376953,0.0014278888702392578,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.49589190116523296,0.03388619422912598,0,0,Unknown,0.002617359161376953,0.008211374282836914,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.4819668339151927,0.03388619422912598,0,0,Unknown,0.002617359161376953,0.003956317901611328,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.47922182946771497,0.03388619422912598,0,0,Unknown,0.002617359161376953,0.003622770309448242,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,0.036815643310546875,0,0,Unknown,0.0024874210357666016,0.0020570755004882812,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.467235005596098,0.036815643310546875,0,0,Unknown,0.0024874210357666016,0.008044958114624023,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.4681994102048054,0.036815643310546875,0,0,Unknown,0.0024874210357666016,0.004067897796630859,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.46849595555582046,0.036815643310546875,0,0,Unknown,0.0024874210357666016,0.0034596920013427734,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,0.95,0.03359341621398926,0,0,Unknown,0.002438068389892578,0.0013461112976074219,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.4937366788000842,0.03359341621398926,0,0,Unknown,0.002438068389892578,0.008184671401977539,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.4937825275908356,0.03359341621398926,0,0,Unknown,0.002438068389892578,0.003851175308227539,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Test,0.5042275419594939,0.03359341621398926,0,0,Unknown,0.002438068389892578,0.003457307815551758,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train,1.0,0.03075718879699707,0,0,Unknown,0.0025026798248291016,0.0013053417205810547,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Train - Original,0.5451845211010765,0.03075718879699707,0,0,Unknown,0.0025026798248291016,0.007684469223022461,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
Val,0.5288912928336921,0.03075718879699707,0,0,Unknown,0.0025026798248291016,0.003941774368286133,TencentCTRSmall,XGBClassifier,10,mixed,mixed,Mixed -> Random Sample -> Mixed,Random Sample,N/A,N/A,original,False,centroid,Mixed -> RS -> Mixed
