Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.95,0.016947269439697266,0,0,npl08,42.21774983406067,0.0014908313751220703,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.5187974702375054,0.016947269439697266,0,0,npl08,42.21774983406067,0.07468390464782715,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.49763407677282145,0.016947269439697266,0,0,npl08,42.21774983406067,0.01803135871887207,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5208116507014939,0.016947269439697266,0,0,npl08,42.21774983406067,0.024021625518798828,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.95,0.01735091209411621,0,0,npl08,38.368868589401245,0.0020720958709716797,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.4719152526897735,0.01735091209411621,0,0,npl08,38.368868589401245,0.10875058174133301,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.4828100377756125,0.01735091209411621,0,0,npl08,38.368868589401245,0.01564168930053711,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.483777417476847,0.01735091209411621,0,0,npl08,38.368868589401245,0.028539180755615234,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,1.0,1.2849845886230469,0,0,npl08,38.44738054275513,0.001886129379272461,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.5391660925428166,1.2849845886230469,0,0,npl08,38.44738054275513,0.07235431671142578,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.5251825483154121,1.2849845886230469,0,0,npl08,38.44738054275513,0.03576993942260742,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5430104931022903,1.2849845886230469,0,0,npl08,38.44738054275513,0.01582789421081543,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.95,1.009221076965332,0,0,npl08,39.702948331832886,0.001874685287475586,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.535425047290448,1.009221076965332,0,0,npl08,39.702948331832886,0.18022608757019043,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.525971852365436,1.009221076965332,0,0,npl08,39.702948331832886,0.07532763481140137,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5323215765285139,1.009221076965332,0,0,npl08,39.702948331832886,0.0426175594329834,TencentCTRSmall,LogisticRegression,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
