Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.8500000000000001,0.0005536079406738281,0,0,Unknown,7.745652198791504,0.024175405502319336,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.8388953367237972,0.0005536079406738281,0,0,Unknown,7.745652198791504,0.43750739097595215,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.8352089198051064,0.0005536079406738281,0,0,Unknown,7.745652198791504,0.12418079376220703,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.8403030304002455,0.0005536079406738281,0,0,Unknown,7.745652198791504,0.13257145881652832,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.8500000000000001,0.0005917549133300781,0,0,Unknown,7.78939962387085,0.026929378509521484,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.7661757847933981,0.0005917549133300781,0,0,Unknown,7.78939962387085,0.42076992988586426,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.7614612041835307,0.0005917549133300781,0,0,Unknown,7.78939962387085,0.12646722793579102,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.7642740788244335,0.0005917549133300781,0,0,Unknown,7.78939962387085,0.11883187294006348,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,0.8,0.0005123615264892578,0,0,Unknown,6.527873277664185,0.02481985092163086,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.8614091196340132,0.0005123615264892578,0,0,Unknown,6.527873277664185,0.43639230728149414,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.8533025233743634,0.0005123615264892578,0,0,Unknown,6.527873277664185,0.14061379432678223,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.855609501484226,0.0005123615264892578,0,0,Unknown,6.527873277664185,0.1649463176727295,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.7,0.0005943775177001953,0,0,Unknown,6.527798175811768,0.03339385986328125,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.784561642445093,0.0005943775177001953,0,0,Unknown,6.527798175811768,0.41957926750183105,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.7724364364081677,0.0005943775177001953,0,0,Unknown,6.527798175811768,0.13493967056274414,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.7858627518476231,0.0005943775177001953,0,0,Unknown,6.527798175811768,0.12134146690368652,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,0.8,0.0005888938903808594,0,0,Unknown,5.426767349243164,0.02477717399597168,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.8532459458285662,0.0005888938903808594,0,0,Unknown,5.426767349243164,0.4199972152709961,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.8488950796916993,0.0005888938903808594,0,0,Unknown,5.426767349243164,0.11432576179504395,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.8543190980457451,0.0005888938903808594,0,0,Unknown,5.426767349243164,0.12347626686096191,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.7,0.0005216598510742188,0,0,Unknown,5.443998098373413,0.017958641052246094,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.7867410088977012,0.0005216598510742188,0,0,Unknown,5.443998098373413,0.415219783782959,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.7862222938218769,0.0005216598510742188,0,0,Unknown,5.443998098373413,0.4403088092803955,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.7851135543262842,0.0005216598510742188,0,0,Unknown,5.443998098373413,0.1335458755493164,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,0.8,0.0006668567657470703,0,0,Unknown,5.035931825637817,0.030303955078125,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.8605021521695609,0.0006668567657470703,0,0,Unknown,5.035931825637817,0.431469202041626,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.8531551700013992,0.0006668567657470703,0,0,Unknown,5.035931825637817,0.13518595695495605,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.8570925511309129,0.0006668567657470703,0,0,Unknown,5.035931825637817,0.1406550407409668,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.8500000000000001,0.0005021095275878906,0,0,Unknown,5.020866394042969,0.02226710319519043,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.7937149854755239,0.0005021095275878906,0,0,Unknown,5.020866394042969,0.4299764633178711,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.7861984926418518,0.0005021095275878906,0,0,Unknown,5.020866394042969,0.12838053703308105,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.7997984566702159,0.0005021095275878906,0,0,Unknown,5.020866394042969,0.12404108047485352,TwoDPlanes,KNeighborsClassifier,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
